"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2022","1,151.19","1,074.07","1,159.76","1,045.97","1.35M","7.18%"
"07/03/2022","1,074.08","1,066.60","1,086.90","1,041.82","755.27K","0.70%"
"07/02/2022","1,066.60","1,059.05","1,077.66","1,029.03","865.06K","0.72%"
"07/01/2022","1,058.94","1,069.13","1,110.25","1,035.79","1.89M","-0.95%"
"06/30/2022","1,069.05","1,099.51","1,105.88","1,000.77","1.71M","-2.77%"
"06/29/2022","1,099.51","1,143.95","1,155.02","1,088.10","1.54M","-3.89%"
"06/28/2022","1,143.97","1,191.02","1,234.96","1,137.57","1.32M","-3.94%"
"06/27/2022","1,190.84","1,198.03","1,237.14","1,176.77","1.07M","-0.60%"
"06/26/2022","1,198.03","1,241.80","1,276.81","1,196.20","1.13M","-3.52%"
"06/25/2022","1,241.76","1,224.96","1,255.55","1,181.11","1.03M","1.37%"
"06/24/2022","1,225.03","1,144.33","1,244.82","1,132.87","1.66M","7.07%"
"06/23/2022","1,144.19","1,049.02","1,152.97","1,046.57","1.57M","9.07%"
"06/22/2022","1,049.02","1,125.96","1,127.06","1,045.37","1.58M","-6.83%"
"06/21/2022","1,125.96","1,128.29","1,192.27","1,110.63","1.60M","-0.21%"
"06/20/2022","1,128.32","1,128.39","1,165.62","1,056.58","2.04M","-0.01%"
"06/19/2022","1,128.39","995.49","1,152.07","938.24","2.42M","13.34%"
"06/18/2022","995.61","1,086.47","1,096.93","883.35","2.77M","-8.36%"
"06/17/2022","1,086.47","1,068.49","1,116.46","1,052.17","1.45M","1.68%"
"06/16/2022","1,068.49","1,237.92","1,254.28","1,052.65","1.76M","-13.69%"
"06/15/2022","1,237.92","1,208.82","1,244.80","1,016.99","3.73M","2.24%"
"06/14/2022","1,210.84","1,206.67","1,261.39","1,078.11","3.27M","0.35%"
"06/13/2022","1,206.67","1,434.43","1,454.07","1,168.68","4.39M","-15.94%"
"06/12/2022","1,435.46","1,531.50","1,542.01","1,430.93","1.82M","-6.27%"
"06/11/2022","1,531.42","1,663.04","1,681.58","1,503.15","1.44M","-7.91%"
"06/10/2022","1,663.02","1,788.15","1,803.54","1,657.30","1.13M","-6.99%"
"06/09/2022","1,788.06","1,792.81","1,832.70","1,778.00","625.76K","-0.28%"
"06/08/2022","1,793.00","1,813.05","1,837.41","1,766.94","1.09M","-1.14%"
"06/07/2022","1,813.72","1,859.99","1,870.99","1,727.77","1.64M","-2.49%"
"06/06/2022","1,859.99","1,806.11","1,919.40","1,804.77","939.37K","2.95%"
"06/05/2022","1,806.71","1,804.60","1,829.25","1,773.65","437.73K","0.13%"
"06/04/2022","1,804.37","1,775.28","1,815.19","1,748.89","442.10K","1.64%"
"06/03/2022","1,775.29","1,834.66","1,843.31","1,740.83","884.53K","-3.24%"
"06/02/2022","1,834.64","1,817.98","1,851.25","1,784.23","975.53K","0.91%"
"06/01/2022","1,818.07","1,941.81","1,971.22","1,770.85","1.29M","-6.37%"
"05/31/2022","1,941.79","1,998.46","2,015.02","1,928.93","933.24K","-2.84%"
"05/30/2022","1,998.46","1,813.56","2,009.95","1,804.33","1.04M","10.20%"
"05/29/2022","1,813.56","1,792.25","1,824.81","1,764.72","554.58K","1.16%"
"05/28/2022","1,792.68","1,724.67","1,807.79","1,722.88","658.23K","3.97%"
"05/27/2022","1,724.30","1,793.19","1,820.82","1,708.62","1.57M","-3.85%"
"05/26/2022","1,793.42","1,942.89","1,964.91","1,744.12","1.42M","-7.69%"
"05/25/2022","1,942.91","1,979.40","2,020.64","1,937.52","639.93K","-1.84%"
"05/24/2022","1,979.35","1,973.01","1,992.60","1,914.48","620.41K","0.33%"
"05/23/2022","1,972.93","2,043.19","2,086.21","1,959.57","738.09K","-3.44%"
"05/22/2022","2,043.19","1,975.12","2,055.15","1,966.34","425.98K","3.45%"
"05/21/2022","1,975.12","1,959.79","1,989.44","1,940.59","292.47K","0.78%"
"05/20/2022","1,959.85","2,019.36","2,061.08","1,923.86","699.69K","-2.95%"
"05/19/2022","2,019.34","1,913.99","2,039.71","1,903.67","858.97K","5.61%"
"05/18/2022","1,912.12","2,091.05","2,108.84","1,909.56","751.82K","-8.56%"
"05/17/2022","2,091.14","2,023.00","2,120.03","2,008.84","736.63K","3.37%"
"05/16/2022","2,022.93","2,145.86","2,145.86","1,979.93","950.85K","-5.73%"
"05/15/2022","2,145.86","2,056.33","2,161.78","2,001.74","589.77K","4.36%"
"05/14/2022","2,056.30","2,009.55","2,068.66","1,952.07","656.94K","2.33%"
"05/13/2022","2,009.53","1,955.59","2,146.22","1,941.53","1.34M","2.77%"
"05/12/2022","1,955.36","2,087.17","2,190.51","1,796.24","2.84M","-6.03%"
"05/11/2022","2,080.79","2,342.27","2,451.33","2,007.57","2.70M","-11.16%"
"05/10/2022","2,342.30","2,229.69","2,455.19","2,202.02","1.95M","5.08%"
"05/09/2022","2,229.10","2,519.98","2,529.35","2,228.90","1.93M","-11.54%"
"05/08/2022","2,519.98","2,636.03","2,641.84","2,492.59","925.40K","-4.40%"
"05/07/2022","2,636.03","2,692.92","2,703.11","2,589.29","458.05K","-2.11%"
"05/06/2022","2,692.88","2,747.60","2,757.14","2,635.85","881.18K","-1.99%"
"05/05/2022","2,747.46","2,940.70","2,952.84","2,730.95","899.82K","-6.57%"
"05/04/2022","2,940.70","2,781.47","2,963.54","2,773.90","662.07K","5.72%"
"05/03/2022","2,781.47","2,856.01","2,861.42","2,757.36","447.80K","-2.61%"
"05/02/2022","2,856.01","2,825.65","2,879.99","2,780.08","617.74K","1.07%"
"05/01/2022","2,825.80","2,727.20","2,847.02","2,720.57","512.01K","3.62%"
"04/30/2022","2,727.18","2,817.14","2,841.16","2,716.31","430.98K","-3.18%"
"04/29/2022","2,816.66","2,937.01","2,946.18","2,778.33","629.56K","-4.10%"
"04/28/2022","2,937.01","2,889.01","2,977.78","2,856.42","726.03K","1.66%"
"04/27/2022","2,888.99","2,810.42","2,916.39","2,795.58","602.24K","2.80%"
"04/26/2022","2,810.42","3,006.04","3,032.70","2,768.38","694.46K","-6.51%"
"04/25/2022","3,006.04","2,922.03","3,023.23","2,800.21","807.69K","2.88%"
"04/24/2022","2,922.03","2,931.90","2,966.94","2,915.66","269.29K","-0.34%"
"04/23/2022","2,931.90","2,963.00","2,977.45","2,917.84","227.07K","-1.05%"
"04/22/2022","2,963.00","2,983.91","3,029.14","2,937.47","544.89K","-0.70%"
"04/21/2022","2,983.95","3,076.06","3,176.69","2,950.97","675.44K","-3.00%"
"04/20/2022","3,076.38","3,101.79","3,161.90","3,037.67","512.72K","-0.83%"
"04/19/2022","3,102.01","3,055.86","3,128.86","3,030.32","427.14K","1.52%"
"04/18/2022","3,055.64","2,989.05","3,069.07","2,887.25","681.76K","2.23%"
"04/17/2022","2,989.05","3,058.96","3,081.14","2,983.17","311.54K","-2.29%"
"04/16/2022","3,058.96","3,042.01","3,084.84","3,011.47","245.47K","0.56%"
"04/15/2022","3,042.01","3,021.93","3,056.84","2,996.62","309.95K","0.66%"
"04/14/2022","3,021.93","3,117.21","3,143.18","2,980.84","546.54K","-3.05%"
"04/13/2022","3,116.92","3,027.64","3,128.20","2,999.66","563.89K","2.96%"
"04/12/2022","3,027.25","2,978.45","3,082.02","2,951.80","790.54K","1.64%"
"04/11/2022","2,978.29","3,201.99","3,213.52","2,953.66","876.67K","-6.98%"
"04/10/2022","3,201.84","3,259.59","3,306.14","3,198.10","327.86K","-1.76%"
"04/09/2022","3,259.35","3,193.54","3,268.18","3,182.10","283.24K","2.05%"
"04/08/2022","3,193.93","3,228.83","3,311.42","3,174.14","654.82K","-1.08%"
"04/07/2022","3,228.84","3,169.58","3,268.56","3,143.96","569.39K","1.87%"
"04/06/2022","3,169.58","3,406.83","3,406.87","3,164.24","950.59K","-6.96%"
"04/05/2022","3,406.78","3,520.35","3,554.54","3,400.74","500.27K","-3.23%"
"04/04/2022","3,520.41","3,521.16","3,544.92","3,412.01","547.68K","-0.02%"
"04/03/2022","3,521.10","3,442.34","3,579.82","3,414.40","473.54K","2.29%"
"04/02/2022","3,442.34","3,456.18","3,529.63","3,436.79","629.29K","-0.40%"
"04/01/2022","3,456.18","3,282.33","3,478.74","3,215.33","649.92K","5.30%"
"03/31/2022","3,282.35","3,385.60","3,444.43","3,263.36","545.44K","-3.05%"
"03/30/2022","3,385.64","3,401.86","3,445.98","3,333.50","425.38K","-0.48%"
"03/29/2022","3,401.89","3,329.67","3,481.23","3,329.67","570.03K","2.18%"
"03/28/2022","3,329.38","3,295.73","3,428.41","3,275.32","628.91K","0.98%"
"03/27/2022","3,297.04","3,145.95","3,297.40","3,126.46","402.02K","4.80%"
"03/26/2022","3,146.01","3,103.43","3,150.09","3,085.80","244.28K","1.37%"
"03/25/2022","3,103.51","3,110.80","3,192.73","3,081.71","583.25K","-0.18%"
"03/24/2022","3,109.25","3,036.18","3,126.37","3,005.99","699.58K","2.41%"
"03/23/2022","3,036.12","2,969.64","3,042.28","2,925.78","536.63K","2.24%"
"03/22/2022","2,969.64","2,891.41","3,048.32","2,887.69","716.47K","2.70%"
"03/21/2022","2,891.63","2,861.66","2,960.42","2,830.38","546.61K","1.05%"
"03/20/2022","2,861.69","2,950.03","2,962.19","2,819.27","436.11K","-2.99%"
"03/19/2022","2,949.92","2,939.76","2,984.00","2,895.30","392.64K","0.35%"
"03/18/2022","2,939.76","2,812.29","2,983.11","2,768.65","1.59B","4.53%"
"03/17/2022","2,812.29","2,773.80","2,832.61","2,747.06","1.06B","1.38%"
"03/16/2022","2,773.94","2,617.43","2,787.12","2,603.80","1.79B","5.98%"
"03/15/2022","2,617.43","2,589.54","2,667.61","2,510.75","1.19B","1.09%"
"03/14/2022","2,589.30","2,516.75","2,608.68","2,500.12","991.82M","2.88%"
"03/13/2022","2,516.75","2,569.80","2,600.65","2,494.59","811.55M","-2.06%"
